user_id,screen_name,user_image_url,followers,following
1301078463844098048,oppressionbecks,http://pbs.twimg.com/profile_images/1342043294889598976/6YuEVAsH_normal.jpg,13,180
1133172489457197056,PROFESSORORUS,http://pbs.twimg.com/profile_images/1334905555064905732/puYPjGkD_normal.jpg,16374,11747
2304480472,CarlosRios2013,http://pbs.twimg.com/profile_images/1349536362215714817/yEtkoQXz_normal.jpg,958,891
1233417213606055936,_PatriotaBR_,http://pbs.twimg.com/profile_images/1247665466283298818/4x3kR9sL_normal.jpg,1139,1411
1296902274762133504,boesky_ivan,http://pbs.twimg.com/profile_images/1296903000187953154/d2HvrkqT_normal.jpg,11,224
1114223219060424704,Andre26Rojas,http://pbs.twimg.com/profile_images/1114932730796572672/1KXwvMrT_normal.jpg,46,95
1161507349,pinto_rogrio,http://pbs.twimg.com/profile_images/1350207292545912839/Ab5ygq1d_normal.jpg,2140,2372
1248667592950194176,Angeli20756515,http://pbs.twimg.com/profile_images/1249899769616613376/Jroa2xxx_normal.jpg,756,1035
1178269453630541824,BrasilJade,http://pbs.twimg.com/profile_images/1348021099771154432/kNJCneqo_normal.png,402,724
1115529749521149952,eaipartiuu,http://pbs.twimg.com/profile_images/1348357339154362370/OPsIiKgN_normal.jpg,169,329
292132973,ronaldcontador,http://pbs.twimg.com/profile_images/1250255507727753219/vRpIsd9k_normal.jpg,36,394
1532291473,NilsonR56,http://pbs.twimg.com/profile_images/1318372288593612802/G6kPA1Dt_normal.jpg,202,568
1261317099340824576,carvalho_tonn,http://pbs.twimg.com/profile_images/1275172883157958663/Uq0T7zNq_normal.jpg,55,157
164496050,RoselyViveiros,http://pbs.twimg.com/profile_images/1256985363291275264/d4o7Itjw_normal.jpg,298,147
1326652845517660160,PatriciaBolson5,http://pbs.twimg.com/profile_images/1326654060611723265/B5r99LUS_normal.jpg,55,116
1192784620334583809,MaraboTomas,http://pbs.twimg.com/profile_images/1351241579646906368/Cmk1VjMF_normal.jpg,171,720
803632950831091712,_SocioColorado,http://pbs.twimg.com/profile_images/1345027136139255808/eSahX192_normal.jpg,681,547
1213940929016418304,AnselmoDougla,http://pbs.twimg.com/profile_images/1214549763720388608/29UIqVxj_normal.jpg,19,209
1324788429478109191,Odraude_1980,http://pbs.twimg.com/profile_images/1355218092410941440/uRZv61te_normal.jpg,744,870
37660133,MTJumper,http://pbs.twimg.com/profile_images/1317148608114950146/QFhggKzE_normal.jpg,1154,2008
1179484205065129985,sem_estressee,http://pbs.twimg.com/profile_images/1328736568811597829/YjyiEF7K_normal.jpg,19,34
1042242443054407682,Luciano07466549,http://pbs.twimg.com/profile_images/1254572938206105611/xQ2WJvYA_normal.jpg,88,236
